Info 0    [18:15:10.719] Starting TS Server
Info 91   [18:18:47.44] getCompletionData: Semantic work: 1
Info 92   [18:18:47.901] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 93   [18:18:47.902] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 1ms
Info 94   [18:18:47.902] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 95   [18:18:48.127] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 96   [18:18:48.128] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 1ms
Info 97   [18:18:48.128] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 98   [18:18:49.161] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 99   [18:18:49.164] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 3ms
Info 100  [18:18:49.164] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 101  [18:18:49.164] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 102  [18:18:49.166] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 2ms
Info 103  [18:18:49.166] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 104  [18:18:49.663] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 105  [18:18:49.664] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 1ms
Info 106  [18:18:49.664] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 107  [18:20:29.349] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 108  [18:20:29.350] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 1ms
Info 109  [18:20:29.350] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 110  [18:20:29.562] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 111  [18:20:29.563] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 1ms
Info 112  [18:20:29.563] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 113  [18:20:30.150] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 114  [18:20:30.151] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 1ms
Info 115  [18:20:30.151] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 116  [18:20:30.448] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 117  [18:20:30.451] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 3ms
Info 118  [18:20:30.451] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 119  [18:20:31.525] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 120  [18:20:31.527] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 2ms
Info 121  [18:20:31.527] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 122  [18:20:32.805] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
